,Course Name,Course Description,Course Subject,Course Number,Link
20,U.S. Federal Taxation,This course familiarizes the student with individual and corporate taxation in the U.S. The use of professional judgment in the application of tax planning recommendations is also addressed in this course.,ACCO,365,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
21,Advanced Acting Studio,"Building on the skills developed in movement and voice for the stage, this studio course provides advanced students with the opportunity to apply their skills to text study and character development in an intensive environment without the pressure of creating a public performance. The course may introduce a variety of acting styles to promote further skill development.",ACTT,450,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
22,Classical Text Project A,"his public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of an iconic text from the worldwide body of dramatic literature, written by a widely recognized playwright, such as Shakespeare, K?lid?sa, Ibsen, Chekhov, or Zeami.",ACTT,460,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
23,Classical Text Project B," This public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of an iconic text from the worldwide body of dramatic literature, written by a widely recognized playwright, such as Shakespeare, K?lid?sa, Ibsen, Chekhov, or Zeami.",ACTT,461,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
24,Classical Text Project C,"his public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of an iconic text from the worldwide body of dramatic literature, written by a widely recognized playwright, such as Shakespeare, K?lid?sa, Ibsen, Chekhov, or Zeami.",ACTT,462,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
25,Clown for the Actor,"Building on previously acquired skills in movement and voice, this course focuses on the development of clown characters and situations, with focus on Michel Dallaire’s “Jeu Clownesque” approach to clown training and performance.",ACTT,370,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
26,Conducting an Acting Workshop,his studio course provides students with opportunities to experiment with both writing and performing original stories. Students examine contemporary performing artists whose works incorporate a wide range of storytelling modalities. This course has a public performance outcome.,ACTT,481,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
27,Creation Project A,This public performance course offers supervised application of theatrical skills in the collaborative creation of a theatre production.,ACTT,433,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
28,Creation Project B,This public performance course offers supervised application of theatrical skills in the collaborative creation of a theatre production.,ACTT,434,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
29,Creation Project C,This public performance course offers supervised application of theatrical skills in the collaborative creation of a theatre production.,ACTT,435,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
30,Designing an Acting Workshop,"This studio course provides students with the opportunity to design a course framework under the guidance of the instructor that includes curriculum, implementation, and assessment for students. Students develop a philosophy of teaching and learning through sustained reflection of their own creative process and selected readings.",ACTT,480,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
31,Ensemble I,"his studio class covers the elements of preparation for theatrical presentation with emphasis on the co-operative nature of theatre. Studio work includes ongoing movement and voice training, and instruction in sensory awareness, spatial relationships, improvisational techniques, and performer-audience relationships.",ACTT,231,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
32,Ensemble II,"This studio course focuses on skill development and performance of a particular theatrical genre, such as Elizabethan verse, red-nose clown, or Brechtian epic theatre.",ACTT,360,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
33,Final Acting Project," This studio course involves the supervised creation and performance of a solo or ensemble theatre piece, the development of audition technique, and other career-oriented skills. The emphasis is on crystallizing each student’s unique theatrical identity, while solidifying collaborative skills. This course has a public performance outcome.",ACTT,465,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
34,Improvisation," A thorough introduction to improvisation as a method of creation for the stage, using skills such as mask, commedia dell’arte, or the techniques of Keith Johnstone.",ACTT,332,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
35,Introduction to Acting I,"This course emphasizes the development of imagination and physical expression, including the basics of improvisation, the playing of intention, and the group ensemble experience working towards presentation.",ACTT,201,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
36,Introduction to Acting II,"This course builds on skills previously acquired in the area of playing intention and group ensemble, emphasizing the development of skills pertaining to language, character, and text.",ACTT,202,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
37,Movement for the Stage II,"his studio course is an introduction to various movement-based performance techniques, methods, or approaches, such as Decroux, Laban, LeCoq, Biomechanics, or somatic work.",ACTT,321,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
38,Movement for the Stage IV,"Building on previously acquired skills, this course provides an advanced exploration of a particular movement-based performance technique, method, or approach, such as Decroux, Laban, Lecoq, biomechanics, or somatic work.",ACTT,458,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
39,Movement for the Studio III,"Building on previously acquired skills, this course provides an intensive introduction to a particular movement-based performance technique, method, or approach, such as the Viewpoints or the techniques of Eugenio Barba, as intended for acting specialists.",ACTT,358,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
40,One-Act Project A,This public performance course offers supervised application of theatrical skills in the collaborative realization of a threatre production of a one-act text from the worldwide body of dramatic literature.,ACTT,436,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
41,One-Act Project B,his public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of a one-act text from the worldwide body of dramatic literature.,ACTT,437,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
42,One-Act Project C,This public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of a one-act text from the worldwide body of dramatic literature.,ACTT,438,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
43,Rasaboxes,"Building on the skills developed in voice and movement classes, this studio course provides an intensive introduction to the performance of emotion, based on the Rasaboxes training as developed by Richard Schechner.",ACTT,432,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
44,Scene Study I,"his studio course places increased emphasis on movement, voice, and text interpretation, working in a realistic style of physical actions such as Stanislavski’s work on embodiment. The course offers foundational principles for creating a role, with focus on contemporary and early modern realistic dramatic texts.",ACTT,210,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
45,Scene Study II,"In this studio course, students examine, develop, and refine their individual processes for analyzing, exploring, rehearsing, and performing scenes from dramatic texts, with focus on non-realistic genres of text, such as existentialism, absurdism or expressionism.",ACTT,331,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
46,Special Topics in Acting, This course provides opportunities for studies in selected styles or modes of theatre performance.,ACTT,499,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
47,Special Topics in Acting, This course provides opportunities for studies in selected styles or modes of theatre performance.,ACTT,399,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
48,Special Topics in Acting,. This course provides opportunities for studies in selected styles or modes of theatre performance.,ACTT,299,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
49,Special Topics in Acting, This course provides opportunities for studies in selected styles or modes of theatre performance.,ACTT,498,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
50,Special Topics in Acting,A seminar course exploring a topic in performance creation.,ACTT,398,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
51,Special Topics in Acting,This course provides opportunities for studies in selected styles or modes of theatre performance.,ACTT,298,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
52,Stage Combat,"Building on previously acquired movement skills, this course focuses on the development of unarmed and armed stage combat skills for the actor.",ACTT,372,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
53,Supervised Acting Performance Project,18 credits in a specialization of the Department of Theatre; and written permission of the Department. This studio course provides students with the opportunity to work in self-selected teams to develop short projects in response to a given theme for performance in a festival format. The course involves working with limited resources with an emphasis on exploration of acting processes. This course has a public performance outcome.,ACTT,440,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
54,The Engaged Theatre Artist,This studio course is designed to bring together students from all of the Department’s specializations to explore basic skills and principles of performance creation and acting for the theatre. The course combines theoretical readings and practical explorations relating to diverse perspectives on an artist’s role in society.,ACTT,209,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
55,Voice and Movement for the Stage I,"This studio course cultivates the expressive potential of the actor’s instrument: the body, voice, and imagination. It aims to hone the basic tools of physical and of vocal expression. Students practise applying these tools in études, poetry performances, and scenes.",ACTT,211,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
56,Voice for the Stage II,"Building on the voice and speech skills previously introduced, this course emphasizes embodiment, self-awareness, and freedom of breath; authentic, healthy, and expressive vocal use; and clarity and conviction in speaking text.",ACTT,325,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
57,Voice for the Stage III,"This studio course provides a thorough introduction to a particular voice-based performance technique, method, or approach, such as choral singing for the theatre or slam poetry.",ACTT,355,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
58,Voice for the Stage IV,"Building on previously acquired skills, this course provides an advanced exploration of a particular voice-based performance technique, method, or approach, such as singing, voice-over or dialects.",ACTT,455,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
59,Actuarial Mathematics I, Measurement of mortality; pure endowments; life insurance; net single premiums; life annuities; net annual premiums; special topics.,ACTU,257,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
60,Actuarial Mathematics II,"Net level premium reserves; multiple life functions; multiple decrements, the expense factor; special topics",ACTU,357,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
61,Actuarial Mathematics Lab I,This lab features problem-solving sessions for the professional examination on financial mathematics of the Society of Actuaries and the Casualty Actuarial Society.,ACTU,286,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
62,Actuarial Mathematics Lab II,This lab will feature the use of programming languages and software applications.,ACTU,386,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
63,Actuarial Mathematics Lab III,This lab will be a workshop designed to prepare students for the Actuarial Models examination of the Society of Actuaries and the Casualty Actuarial Society.,ACTU,486,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
64,Credibility Theory,"Credibility approach to inference for heterogeneous data; classical, regression and Bayesian models; illustrations with insurance data.",ACTU,458,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
65,Honours Project in Actuarial Mathematics,No Desciption,ACTU,493,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
66,Loss Distributions,Probability model fitting to loss data; estimation and testing under variety of procedures and sampling designs.,ACTU,459,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
67,Mathematics of Finance, MATH 264 previously or concurrently; and permission of the Department. Measurement of interest; annuities and perpetuities; amortization and sinking funds; rates of return; bonds and related securities; life insurance.,ACTU,256,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
68,Pension Mathematics,Valuation methods; gains and losses; dynamic control; special topics.,ACTU,456,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
69,Reading Course in Actuarial Mathematics,No Desciption,ACTU,492,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
70,Risk Theory,"Applications of contingency theory in health insurance, individual and collective risk theory, ruin theory.",ACTU,457,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
71,Topics in Actuarial Mathematics,No Desciption,ACTU,491,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
72,Adult Education in Canada and Quebec,"The purpose of this course is to examine the historical development and current state of adult education in Canada, with special reference to Quebec. Various factors which influenced the development of adult education in our society are explored; the focus is on present status, role and structure, and socio-cultural and philosophical underpinnings of the field.",ADED,410,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
73,Adults as Learners,"This course examines the unique physiological, psychological, and sociological characteristics of adults, their influence on adult learning and development, and their implications for educational intervention. Attention is given to changes which occur at various stages of the adult life cycle, and particularly to the dimensions which affect the adult’s self-concept and orientation to learning, the motivations, needs, and interests which cause adults to participate in educational activities.",ADED,220,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
74,Advanced Topics in Adult Education,"Specific topics for this course, and prerequisites relevant in each case, are stated in the Undergraduate Class Schedule.",ADED,498,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
75,Concepts and Principles of Adult Education,"Specific topics for this course, and prerequisites relevant in each case, are stated in the Undergraduate Class Schedule.",ADED,201,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
76,Concepts and Values in Adult Education,"This seminar is designed to encourage adult educators to reflect upon and question what one is engaged in and why. A selection of conceptual and philosophical issues underlying adult educa­tional practice is critically examined and discussed. Attention is given to the meaning of words, the nature of ideas and values, the implications of assumptions and principles which are deemed specific in the sphere of the education of adults.",ADED,412,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
77,Design of Adult Learning Projects,"The purpose of this course is to assist participants in developing a clear working concept of various models for planning and designing adult learning projects. To facilitate this understanding, the different steps of the process are closely examined and discussed. Participants are given an opportunity to design and conduct a learning activity in the area of subject matter speciality. A systems approach, including methods for evaluating the design of the learning project is emphasized.",ADED,344,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
78,Diversity in Adults,"It is the role of adult educators (agents of change) to confront issues of diversity and to challenge the forces of racism, sexism, classism, homophobia, and discrimination. By integrating notions of education, and by reflecting on the roles of practitioners, this course develops strategies to resist structural inequality and oppression.",ADED,403,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
79,Evaluating Adult Learning Projects,"The purpose of this course is to assist participants in developing a clear working concept of various models for assessing the effectiveness of adult learning projects. The course emphasizes a systematic approach to evaluation, techniques for collecting information and providing feedback to program operation and impact. Participants are given the opportunity to conduct an evaluation of an adult learning project in the area of subject matter speciality.",ADED,345,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
80,Group Dynamics,"This course examines the processes, conditions, and skills involved when adults work in groups. Participants develop a knowledge and understanding of group dynamics and acquire the skills needed for using groups as a means of adult learning. One of the approaches this course takes is to have participants learn about group dynamics by being actively involved in various interactive group situations.",ADED,302,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
81,Integrative Internship_I,"This internship is designed to assist individual students in achieving a synthesis of their own experiential learning in light of acquired knowledge, skills, values, and attitudes through the clarification of personal aims and the philosophy of adult education. Students will normally enrol in this internship near the end of their program.",ADED,496,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
82,Integrative Internship_II,"This internship is designed to extend the personal aims and philosophy of adult education arrived at in Integrative Internship I, and engage in a special project in an adult education facility where supervision is provided by the host institution.",ADED,497,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
83,Introduction to Research in Adult Education,"This course is designed to introduce students to how to gain access to and utilize major information sources in adult education. In addition, the course examines research interests and problem areas studied in adult education and related fields, along with current trends and various methods of inquiry used.",ADED,240,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
84,Issues in the Practice of Adult Education,"The purpose of this seminar is to study and discuss current issues relating to the field and profession of adult education in general, along with more specific and local concerns. Group and individual interests have an important bearing on the design of this course.",ADED,440,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
85,Methods and Techniques for Facilitating Adult Learning,"This course is designed to give adult educators an opportunity to practise and improve their skills in facilitating adult learning. Different models of educational processes and optimal conditions for promoting adult learning are examined; attention is given to case studies, role plays, and simulation methods and techniques, as well as to individualized learning formats.",ADED,333,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
86,Roles and Competencies of Adult Educators,"The purpose of this course is to review the state of professionalization of adult education. General skills, knowledge, and attitudes expected of adult educators regardless of the setting in which they work are examined. In addition, according to the participants’ needs and interests, an opportunity is given to explore competencies related to the particular roles of, e.g., administrators, program developers, trainers, leaders, instructors, counsellors, and volunteer workers.",ADED,230,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
87,Selected Topics in Adult Education,No Desciption,ADED,299,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
88,Selected Topics in Adult Education,"Specific topics for this course, and prerequisites relevant in each case, are stated in the Undergraduate Class Schedule.",ADED,398,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
89,Selected Topics in Adult Education,No Desciption,ADED,298,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
90,The Scope and Nature of Adult Education Programs,"This course is designed to help students develop an understanding of the scope and nature of adult education programs. Emphasis is placed on existing programs, and institutions and agencies providing them. The course stresses active student participation and self-directedness.",ADED,202,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
91,Workshops for Adult Educators,These workshops examine a number of topics and problems related to the field of adult education. The issues considered may differ from year to year and are stated in the Undergraduate Class Schedule. The workshop format is designed to provide adult educators with learning opportunities that are flexibly scheduled or in the form of a one-week intensive seminar,ADED,370,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
92,Introduction to Administration,No Desciption,ADMI,201,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-120.html#courses
93,Perspective on Canadian Business,No Desciption,ADMI,202,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-120.html#courses
94,Aerodynamics,"Flow conservation equations, incompressible Navier-Stokes equations, inviscid irrotational and rotational flows: the Euler equations, the potential and stream function equations. Dynamics of an incompressible inviscid flow field: the Kelvin, Stokes, and Helmholtz theorems. Elementary flows and their superposition, panel method for non-lifting bodies. Airfoil and wing characteristics, aerodynamic forces and moments coefficients. Incompressible flows around thin airfoils, Biot-Savart law, vortex sheets. Incompressible flow around thick airfoils, the panel method for lifting bodies. Incompressible flow around wings, Prandtl’s lifting line theory, induced angle and down-wash, unswept wings, swept wings. Compressible subsonic flow: linearized theory, Prandlt-Glauert equation and other compressibility correction rules, the area rule. Transonic flow: Von Karman’s ransonic small disturbance equation, transonic full potential equation, super-critical airfoils. Lectures: three hours per week.",AERO,464,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
95,Aerospace Engineering Design Project,"This course focuses on general design philosophy and the design process. The following topics are covered: design factors such as product safety, reliability, life cycle costs and manufacturability; design in the aerospace context (vehicle and system design with regard to mission requirements, configuration, sizing, loads, etc.); mathematical modelling, analysis, and validation; introduction to Computer-Aided Design and Engineering (CAD and CAE); design documentation. A team-based project in which an aerospace system/subsystem is designed, implemented, documented and presented is an intrinsic part of this course.",AERO,390,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
96,Aerospace Vehicle Performance,"Introduction to fixed-wing aircraft operation. Flying environment and its measurement by aircraft instrumentation. Computation of lift and drag, effects of viscosity and compressibility. Review of piston, turboprop, turbojet and turbofan power plants. Operational performance of aircraft in climb, cruise, descent and on ground. Advanced aircraft systems. Operational considerations in aircraft design. Projects on selected topics. Lectures: three hours per week. Tutorial: one hour per week.",AERO,446,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
97,Aircraft Hydro-Mechanical and Fuel Systems," This course focuses on design principles and sizing of the following aircraft systems: hydraulic system, primary and secondary flight control actuation systems, landing gear systems, and fuel system. Traditional and new technology implementations in aircraft, helicopters and other aerospace vehicles are considered. Associated standards and regulations are described. Principles of architecture development and integration, as well as engineering tools for system sizing and simulation, are covered. Lectures: three hours per week. Laboratory: 12 hours total.",AERO,471,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
98,Aircraft Pneumatic and Electrical Power Systems,"This course focuses on design principles and sizing of the following aircraft systems: electrical power system, auxiliary and emergency power systems, environmental control system, ice and rain protection system, and pneumatic power system. Traditional and new technology implementations in aircraft, helicopters and other aerospace vehicles are considered. Associated standards and regulations are described. Principles of architecture development and integration, as well as engineering tools for system sizing and simulation, are covered. A project is required, including a laboratory component. Lectures: three hours per week. Laboratory: 12 hours total.",AERO,472,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
99,Aircraft Stress Analysis," Definition of load paths in typical aircraft structures. Derivation of analysis procedures to enable the designer to size preliminary designs. Internal shear flow distributions that balance external loads. Stress analysis of open and closed cell beams; statically indeterminate beams and frames; single and multi cell torque boxes; symmetric heavy fuselage frames. Structural instability of columns, beams, plates and flanges in compression and shear. Centres of twist and flexure; structural warping; margins of safety; concepts of optimum design; lug analysis and mechanical joints; matrix analysis methods leading to the Finite Element method. Stress analysis of thin-walled metallic structures. Lectures: three hours per week.",AERO,486,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
